iter,objective,grad_norm
1.860000000000000000e+02,3.526709327104652658e+01,2.683992484480245366e+02
1.870000000000000000e+02,3.517659695992993818e+01,2.672214877517164950e+02
1.880000000000000000e+02,3.508689259463408661e+01,2.660513277127414540e+02
1.890000000000000000e+02,3.499797187612961125e+01,2.648878570120374434e+02
1.900000000000000000e+02,3.490982677046874727e+01,2.637325515247820249e+02
1.910000000000000000e+02,3.482244832836877180e+01,2.625849427717877802e+02
1.920000000000000000e+02,3.473582841578050306e+01,2.614438716171933379e+02
1.930000000000000000e+02,3.464995852129540310e+01,2.603159019238761402e+02
1.940000000000000000e+02,3.456482462551085177e+01,2.592144531676167389e+02
1.950000000000000000e+02,3.448040797710117289e+01,2.581283505629525052e+02
1.960000000000000000e+02,3.439669336033065861e+01,2.570704367195276632e+02
1.970000000000000000e+02,3.431366240380376098e+01,2.560215911812142622e+02
1.980000000000000000e+02,3.423130728418315982e+01,2.549788037002869885e+02
1.990000000000000000e+02,3.414962144454364079e+01,2.539416719641060922e+02
2.000000000000000000e+02,3.406859854681499655e+01,2.529101630736207085e+02
2.010000000000000000e+02,3.398823228492887694e+01,2.518846089448489352e+02
2.020000000000000000e+02,3.390851618493319108e+01,2.508648795088792269e+02
2.030000000000000000e+02,3.382944388074015052e+01,2.498533811091357677e+02
2.040000000000000000e+02,3.375100539797926302e+01,2.488611314165112844e+02
2.050000000000000000e+02,3.367318700433732204e+01,2.478826257297286304e+02
2.060000000000000000e+02,3.359597935831090609e+01,2.469078486989495218e+02
2.070000000000000000e+02,3.351937743345324350e+01,2.459397961174361740e+02
2.080000000000000000e+02,3.344337344388691946e+01,2.449852426582122291e+02
2.090000000000000000e+02,3.336795731460291847e+01,2.440421617171598427e+02
2.100000000000000000e+02,3.329311965857126410e+01,2.431092298989829601e+02
2.110000000000000000e+02,3.321885193069908127e+01,2.421859376318774082e+02
2.120000000000000000e+02,3.314514655003609533e+01,2.412716912775974549e+02
2.130000000000000000e+02,3.307199553742389497e+01,2.403672660023980825e+02
2.140000000000000000e+02,3.299939060223160681e+01,2.394753835746589061e+02
2.150000000000000000e+02,3.292732278296634263e+01,2.385904371499355818e+02
2.160000000000000000e+02,3.285578591422755323e+01,2.377149775695121718e+02
2.170000000000000000e+02,3.278477416853250759e+01,2.368328799637988880e+02
2.180000000000000000e+02,3.271428856234072668e+01,2.359542257548923203e+02
2.190000000000000000e+02,3.264432475682110635e+01,2.350809170823015961e+02
2.200000000000000000e+02,3.257487735672204821e+01,2.342142244846344852e+02
2.210000000000000000e+02,3.250594076088005124e+01,2.333534006568413588e+02
2.220000000000000000e+02,3.243750939756330354e+01,2.324988906582668164e+02
2.230000000000000000e+02,3.236957809613680581e+01,2.316492616822483797e+02
2.240000000000000000e+02,3.230214198767011879e+01,2.308049749462076363e+02
2.250000000000000000e+02,3.223519639069758114e+01,2.299648557131278608e+02
2.260000000000000000e+02,3.216873689494997990e+01,2.291303583401168282e+02
2.270000000000000000e+02,3.210275854586765831e+01,2.283027431799063152e+02
2.280000000000000000e+02,3.203725415097866147e+01,2.274895534108512720e+02
2.290000000000000000e+02,3.197221512602040505e+01,2.266818039340003850e+02
2.300000000000000000e+02,3.190763700036264083e+01,2.258779751811571828e+02
2.310000000000000000e+02,3.184351590981977864e+01,2.250781012802552823e+02
2.320000000000000000e+02,3.177984762690972076e+01,2.242852141289094448e+02
2.330000000000000000e+02,3.171662677485665327e+01,2.234970397734709024e+02
2.340000000000000000e+02,3.165384880937309475e+01,2.227173080462365533e+02
2.350000000000000000e+02,3.159150744920264131e+01,2.219444532358483286e+02
2.360000000000000000e+02,3.152959767982705586e+01,2.211770293111498802e+02
